Unique Match Code;Invoice Number;Client ID;Invoice Date;Sale Date;Invoice Name;Name and Surname;Property Adress;Payment Amount
1001;447449;221958;4.11.2022 00:00;9.12.2022 00:00;41/11/2022_InHouse_GmbH;Hannah Schneider;Romerstrasse 1/12, Munich;2222,59
1002;521909;771155;15.01.2023 00:00;28.01.2023 00:00;14/01/2023_InHouse_GmbH;Emma Johnson;Kaiserstrasse 26, Frankfurt;694,98
1003;358795;231932;17.01.2023 00:00;17.01.2023 00:00;81/01/2023_InHouse_GmbH;Hannah Koch;Kaiserplatz 8/2, Potsdam;1287,58
1004;586232;465838;15.01.2023 00:00;23.01.2023 00:00;10/01/2023_InHouse_GmbH;Ava Davis;Eschersheimer Landstrasse 14, Frankfurt;1053,74
1005;600186;359178;28.11.2022 00:00;10.01.2023 00:00;23/11/2022_InHouse_GmbH;Lena Schulz;Unter den Linden 15, Berlin;335,31
1007;256730;744167;17.01.2023 00:00;21.01.2023 00:00;15/01/2023_InHouse_GmbH;Charlotte Rodriguez;Schillerstr. 27, Berlin;418,24
1008;970910;210268;11.11.2022 00:00;20.01.2023 00:00;47/11/2022_InHouse_GmbH;Lea Johnson;Elbchaussee 401, Hamburg;1753,19
1009;484681;832180;6.11.2022 00:00;29.01.2023 00:00;39/11/2022_InHouse_GmbH;Sophia Monk;Friedrich-Ebert-Anlage 49, Berlin;2573,19
1010;249503;154886;19.12.2022 00:00;5.01.2023 00:00;68/12/2022_InHouse_GmbH;Charlotte Weber;Bismarckstrasse 5, Hamburg;1142,03
1011;754811;237337;25.01.2023 00:00;27.01.2023 00:00;99/01/2023_InHouse_GmbH;Olivia Martinez;Potsdamer Str. 4, Berlin;1923,19
1012;627035;621430;21.11.2022 00:00;19.01.2023 00:00;58/11/2022_InHouse_GmbH;Sophie Thruman;Rothenbaumchaussee 2, Hamburg;697,86
1013;748143;187498;8.11.2022 00:00;7.12.2022 00:00;14/11/2022_InHouse_GmbH;Mia Muller;Reeperbahn 156, Hamburg;839,84
1014;149503;999159;12.01.2023 00:00;22.01.2023 00:00;37/01/2023_InHouse_GmbH;Isabella Harper;Potsdamer Str. 4, Berlin;2659,82
