Unique Match Code,Invoice Number,Client ID,Invoice Date,Sale Date,Invoice Name,Name and Surname,Property Adress,Payment Amount,Transaction Number,Matched With,Status
1001,447449,221958,2022-04-11,2022-09-12,41/11/2022_InHouse_GmbH,Hannah Schneider,"Romerstrasse 1/12, Munich",2222.59,3098574162,1001_Unchanged,ACCEPTED
1002,521909,771155,2023-01-15,2023-01-28,14/01/2023_InHouse_GmbH,Emma Johnson,"Kaiserstrasse 26, Frankfurt",694.98,7809234561,1002_PN,ACCEPTED
1003,358795,231932,2023-01-17,2023-01-17,81/01/2023_InHouse_GmbH,Hannah Koch,"Kaiserplatz 8/2, Potsdam",1287.58,4561892730,1003_Adr_PA,TO BE CHECKED
1004,586232,465838,2023-01-15,2023-01-23,10/01/2023_InHouse_GmbH,Ava Davis,"Eschersheimer Landstrasse 14, Frankfurt",1053.74,1287365490,1004_PN_Adr,ACCEPTED
1005,600186,359178,2022-11-28,2023-10-01,23/11/2022_InHouse_GmbH,Lena Schulz,"Unter den Linden 15, Berlin",335.31,9012837645,1005_PN_Adr,ACCEPTED
1007,256730,744167,2023-01-17,2023-01-21,15/01/2023_InHouse_GmbH,Charlotte Rodriguez,"Schillerstr. 27, Berlin",418.24,5678901234,1007_PN_NS_Adr,TO BE CHECKED
1008,970910,210268,2022-11-11,2023-01-20,47/11/2022_InHouse_GmbH,Lea Johnson,"Elbchaussee 401, Hamburg",1753.19,4321890657,1008_PN_NS_Adr_PA,TO BE CHECKED
1009,484681,832180,2022-06-11,2023-01-29,39/11/2022_InHouse_GmbH,Sophia Monk,"Friedrich-Ebert-Anlage 49, Berlin",2573.19,9876543210,1009_Unchanged,ACCEPTED
1010,249503,154886,2022-12-19,2023-05-01,68/12/2022_InHouse_GmbH,Charlotte Weber,"Bismarckstrasse 5, Hamburg",1142.03,3412765980,1010_PN_Adr,ACCEPTED
1011,754811,237337,2023-01-25,2023-01-27,99/01/2023_InHouse_GmbH,Olivia Martinez,"Potsdamer Str. 4, Berlin",1923.19,7823419056,1011_PN_Adr,ACCEPTED
1012,627035,621430,2022-11-21,2023-01-19,58/11/2022_InHouse_GmbH,Sophie Thruman,"Rothenbaumchaussee 2, Hamburg",697.86,4145621430,1012_PN_Adr,ACCEPTED
1013,748143,187498,2022-08-11,2022-07-12,14/11/2022_InHouse_GmbH,Mia Muller,"Reeperbahn 156, Hamburg",839.84,9990621430,1013_PN_NS_Adr_PA,TO BE CHECKED
1014,149503,999159,2023-12-01,2023-01-22,37/01/2023_InHouse_GmbH,Isabella Harper,"Potsdamer Str. 4, Berlin",2659.82,0,Not Matched,Not Matched
